tract,blockgroup,count,graffiti_count,dump_count,lighting_count,sl_count,landarea,cent_lat,cent_lon,sl_density,gsl_meandist,dsl_meandist,Estimate; Total,rep_per_cap,graffiti_per,dump_per,lighting_per
17015.0,3.0,21.0,1.0,3.0,3.0,104.0,2570137.0,33.0417215,-117.0709571,4.04647689987e-05,34.8710118395,225.313731242,4797,0.00437773608505,0.047619047619,0.142857142857,0.142857142857
17404.0,2.0,0.0,,,,,,,,,,,843,0.0,,,
18504.0,4.0,0.0,,,,,,,,,,,2328,0.0,,,
3601.0,1.0,45.0,4.0,18.0,3.0,104.0,897314.0,32.6909981,-117.1165301,0.000115901457015,68.1188632215,80.3308980969,3044,0.0147831800263,0.0888888888889,0.4,0.0666666666667
18801.0,1.0,0.0,,,,,,,,,,,2105,0.0,,,
19303.0,1.0,0.0,,,,,,,,,,,2303,0.0,,,
4501.0,1.0,62.0,37.0,3.0,4.0,43.0,164495.0,32.7176294,-117.1360148,0.000261406121767,98.2856433099,115.699259852,1618,0.0383189122373,0.596774193548,0.0483870967742,0.0645161290323
13908.0,1.0,0.0,,,,,,,,,,,1075,0.0,,,
16901.0,4.0,0.0,,,,,,,,,,,2705,0.0,,,
3208.0,3.0,5.0,1.0,0.0,0.0,5.0,141850.0,32.680759,-117.0446213,3.52485019387e-05,203.994246942,,1264,0.00395569620253,0.2,0.0,0.0
3212.0,2.0,18.0,3.0,1.0,1.0,72.0,803843.0,32.6709119,-117.0545579,8.95697294123e-05,143.399672202,210.967506421,2626,0.00685453160701,0.166666666667,0.0555555555556,0.0555555555556
18611.0,1.0,0.0,,,,,,,,,,,921,0.0,,,
13906.0,1.0,0.0,,,,,,,,,,,3808,0.0,,,
20103.0,3.0,0.0,,,,,,,,,,,3765,0.0,,,
19105.0,3.0,0.0,,,,,,,,,,,2827,0.0,,,
21100.0,1.0,0.0,,,,,,,,,,,1787,0.0,,,
3207.0,1.0,0.0,,,,,,,,,,,2453,0.0,,,
8507.0,2.0,15.0,3.0,1.0,0.0,18.0,122378.0,32.8217726,-117.1692613,0.000147085260423,48.9924801548,75.4133171069,855,0.0175438596491,0.2,0.0666666666667,0.0
16901.0,1.0,0.0,,,,,,,,,,,1449,0.0,,,
13702.0,3.0,0.0,,,,,,,,,,,1476,0.0,,,
18801.0,2.0,0.0,,,,,,,,,,,1836,0.0,,,
16701.0,1.0,0.0,,,,,,,,,,,7859,0.0,,,
10107.0,4.0,5.0,2.0,0.0,0.0,29.0,255363.0,32.5786424,-117.0728131,0.000113563828746,57.3695295832,,1095,0.00456621004566,0.4,0.0,0.0
17019.0,2.0,10.0,0.0,0.0,0.0,89.0,1240154.0,33.0341702,-117.0539075,7.17652807635e-05,,,1419,0.00704721634954,0.0,0.0,0.0
8600.0,1.0,16.0,3.0,0.0,1.0,71.0,2036590.0,32.7913374,-117.1797834,3.48621961219e-05,62.9804720076,,2712,0.00589970501475,0.1875,0.0,0.0625
19208.0,1.0,0.0,,,,,,,,,,,1132,0.0,,,
2707.0,3.0,4.0,1.0,1.0,0.0,31.0,117438.0,32.7512943,-117.0885293,0.000263969073043,41.0022331109,111.406264138,1091,0.00366636113657,0.25,0.25,0.0
20307.0,1.0,0.0,,,,,,,,,,,2438,0.0,,,
1800.0,5.0,24.0,2.0,2.0,0.0,18.0,97472.0,32.7643897,-117.1194997,0.000184668417597,47.8024306674,94.3021123321,1188,0.020202020202,0.0833333333333,0.0833333333333,0.0
4501.0,2.0,22.0,16.0,3.0,1.0,38.0,79565.0,32.7176437,-117.1392394,0.000477596933325,67.6580127229,115.19015151,671,0.0327868852459,0.727272727273,0.136363636364,0.0454545454545
19701.0,1.0,0.0,,,,,,,,,,,2940,0.0,,,
8339.0,1.0,77.0,0.0,1.0,7.0,261.0,11791380.0,32.9028483,-117.2312349,2.21348137368e-05,,291.187878975,2248,0.0342526690391,0.0,0.012987012987,0.0909090909091
19806.0,1.0,0.0,,,,,,,,,,,2975,0.0,,,
